Proposta,Ano da proposta,IBGE,UF,Município,Nome da unidade,Componente,Porte,Situação no SISMOB,Data do repasse,Execução física (%) SISMOB,Data prevista de conclusão SISMOB,Dias sem monitoramento SISMOB,Data do último contato equipe PAC,Situação equipe PAC,Prioridade de contato,Ações,Quem fez o contato?,Data do contato,Execução informada pelo ente (%),Data/Previsão de conclusão informada pelo ente,Data/Previsão de inauguração informada pelo ente,Observações e problemas
10965708000124002,2024,260570,PE,Floresta,Ubs Né Maniçoba ,Unidade Básica de Saúde,I,Em execução e conclusão,5/2/2025,55,8/30/2026,48,1/14/2026,Em execução e conclusão,Alta,"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês",,,,,,
13811409000125006,2025,260580,PE,Frei Miguelinho,Ubs Lagoa de João Carlos ,Unidade Básica de Saúde,I,Em início de execução,6/19/2026,0,,40,,Em início de execução,Média,• Atualizar SISMOB 1 vez por mês,,,,,,
09342856000124002,2024,260600,PE,Garanhuns,Ubs Indiano Ii,Unidade Básica de Saúde,I,Em execução e conclusão,8/25/2025,82,10/1/2026,33,5/28/2026,Em execução e conclusão,Alta,"• Comprar equipamentos
• Informar data em que MS possa fazer entrega simbólica ou inauguração
• Atualizar SISMOB 1 vez por mês",,,,,,
09342856000124001,2024,260600,PE,Garanhuns,Ubs Boa Vista Iii,Unidade Básica de Saúde,I,Em execução e conclusão,9/16/2025,58,10/10/2026,33,5/28/2026,Em execução e conclusão,Média,• Atualizar SISMOB 1 vez por mês,,,,,,
09342856000124003,2024,260600,PE,Garanhuns,Caps Ad Garanhuns,Centro de Atenção Psicossocial,ad,Em execução e conclusão,10/9/2025,61,10/1/2026,33,6/19/2026,Em execução e conclusão,Média,• Atualizar SISMOB 1 vez por mês,,,,,,
09342856000124004,2024,260600,PE,Garanhuns,Centro de Parto Normal,Centro de Parto Normal,Peri-hospitalar,Em execução e conclusão,8/25/2025,67,8/11/2026,33,,"Em execução, conclusão atrasada",Média,"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês",,,,,,
09342856000125006,2025,260600,PE,Garanhuns,Centro Especializado Em Reabilitação,Centro Especializado em Reabilitação,"Auditiva, Física, Intelectual e Visual",Em início de execução,6/29/2026,1,8/2/2027,24,6/19/2026,Em início de execução,Baixa,,,,,,,
11393101000125010,2025,260610,PE,Glória do Goitá,Ubs Barracão,Unidade Básica de Saúde,I,Em início de execução,4/28/2026,5,12/24/2026,19,,Em início de execução,Baixa,,,,,,,
11460739000125004,2025,260630,PE,Granito,Ubs Centro Vereador Jose Alexandre De Souza,Unidade Básica de Saúde,I,Em início de execução,4/6/2026,25,11/30/2026,20,,Em início de execução,Baixa,,,,,,,
11402235000124001,2024,260690,PE,Iguaracy,Esf da Sede 01,Unidade Básica de Saúde,I,Em execução e conclusão,3/13/2025,90,8/30/2026,12,7/2/2026,Em execução e conclusão,Alta,"• Comprar equipamentos
• Informar data em que MS possa fazer entrega simbólica ou inauguração
",,,,,,
11266869000124002,2024,260700,PE,Inajá,Ubs Armando Timoteo,Unidade Básica de Saúde,I,Em execução e conclusão,7/2/2025,48,12/15/2026,4,6/30/2026,Em execução e conclusão,Alta,,,,,,,
11208059000124001,2024,260710,PE,Ingazeira,Esf Santa Rosa,Unidade Básica de Saúde,I,Obra concluída,12/31/2024,100,3/14/2026,74,11/26/2025,Em funcionamento,Média,"• Colocar em funcionamento
• Atualizar SISMOB 1 vez por mês",,,,,,
11208059000125002,2025,260710,PE,Ingazeira,Esf Centro I,Unidade Básica de Saúde,I,Em execução e conclusão,12/29/2025,38,12/31/2026,31,,Em execução e conclusão,Média,• Atualizar SISMOB 1 vez por mês,,,,,,
11248285000124001,2024,260720,PE,Ipojuca,Ubs Canoas,Unidade Básica de Saúde,II,Em execução e conclusão,11/25/2025,30,8/30/2026,13,,Em execução e conclusão,Média,"• Atualizar data de conclusão
",,,,,,
11248285000125013,2025,260720,PE,Ipojuca,Ubs Califórnia,Unidade Básica de Saúde,II,Em início de execução,4/24/2026,8,12/30/2026,24,,Em início de execução,Baixa,,,,,,,
11391568000124005,2024,260730,PE,Ipubi,Ubs Gameleira,Unidade Básica de Saúde,I,Em execução e conclusão,7/17/2025,30,5/10/2026,33,7/2/2026,"Em execução, conclusão atrasada",Alta,"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês",,,,,,
11391568000124004,2024,260730,PE,Ipubi,Ubs  Centro,Unidade Básica de Saúde,I,Em execução e conclusão,6/27/2025,30,11/12/2026,40,,Em execução e conclusão,Alta,• Atualizar SISMOB 1 vez por mês,,,,,,
11873674000124001,2024,260740,PE,Itacuruba,Ubs Seu Dão ,Unidade Básica de Saúde,I,Em execução e conclusão,5/23/2025,70,10/30/2026,17,,Em execução e conclusão,Alta,,,,,,,
11826158000124002,2024,260750,PE,Itaíba,Ubs Maria Soledade da Cunha,Unidade Básica de Saúde,I,Em execução e conclusão,6/20/2025,52,6/30/2026,16,,"Em execução, conclusão atrasada",Alta,"• Atualizar data de conclusão
",,,,,,
11826158000124001,2024,260750,PE,Itaíba,Ubs George de Melo Cavalcante,Unidade Básica de Saúde,II,Em execução e conclusão,6/5/2025,44,9/30/2026,33,,Em execução e conclusão,Alta,• Atualizar SISMOB 1 vez por mês,,,,,,
